"";"country";"points";"intl_commitment";"legislation";"ability_trade";"ability_financing";"enforcement";"year";"stateabb";"ccode"
"1";"United States of America";1019;86;199;147;252;334;2019;"USA";2
"2";"United Kingdom";1018;86;199;151;237;345;2019;"UKG";200
"3";"Sweden";987;90;200;142;217;338;2019;"SWD";380
"4";"Germany";969;90;199;140;204;336;2019;"GMY";255
"5";"Australia";966;96;199;137;209;325;2019;"AUL";900
"6";"Portugal";950;90;198;129;220;313;2019;"POR";235
"7";"Hungary";942;84;197;138;183;340;2019;"HUN";310
"8";"Estonia";940;79;198;145;201;316;2019;"EST";366
"9";"Austria";927;90;199;146;194;299;2019;"AUS";305
"10";"Netherlands";926;84;199;152;145;346;2019;"NTH";210
"11";"Slovenia";924;82;197;128;170;347;2019;"SLV";349
"12";"Czech Republic";912;88;198;134;142;349;2019;"CZR";316
"13";"Poland";910;84;197;140;142;347;2019;"POL";290
"14";"Ireland";908;84;199;150;181;295;2019;"IRE";205
"15";"Spain";904;88;198;137;171;311;2019;"SPN";230
"16";"South Korea";897;92;198;145;160;302;2019;"ROK";732
"17";"Belgium";897;88;199;149;137;325;2019;"BEL";211
"18";"Slovakia";896;85;198;137;196;280;2019;"SLO";317
"19";"France";896;84;199;146;142;325;2019;"FRN";220
"20";"Denmark";894;90;199;149;136;320;2019;"DEN";390
"21";"Italy";884;90;197;141;138;318;2019;"ITA";325
"22";"Canada";883;92;183;151;167;290;2019;"CAN";20
"23";"New Zealand";882;96;183;131;162;309;2019;"NEW";920
"24";"Lithuania";882;82;197;145;148;310;2019;"LIT";368
"25";"Romania";876;81;195;124;188;288;2019;"ROM";360
"26";"Finland";876;90;200;139;118;329;2019;"FIN";375
"27";"Luxembourg";871;90;200;150;165;266;2019;"LUX";212
"28";"Croatia";857;78;194;134;146;305;2019;"CRO";344
"29";"Switzerland";854;90;191;148;166;259;2019;"SWZ";225
"30";"Norway";854;88;183;137;154;292;2019;"NOR";385
"31";"Bulgaria";845;80;195;122;211;238;2019;"BUL";355
"32";"Latvia";823;83;196;131;123;291;2019;"LAT";367
"33";"Israel";821;53;173;119;276;199;2019;"ISR";666
"34";"Japan";818;92;158;145;116;308;2019;"JPN";740
"35";"Iceland";759;80;182;133;135;229;2019;"ICE";395
"36";"South Africa";749;78;198;128;107;237;2019;"SAF";560
"37";"Greece";718;86;196;115;173;148;2019;"GRC";350
"38";"India";713;68;163;133;150;200;2019;"IND";750
"39";"Argentina";704;88;194;111;66;245;2019;"ARG";160
"40";"Mexico";691;78;179;140;148;146;2019;"MEX";70
"41";"Brazil";688;70;146;126;147;199;2019;"BRA";140
"42";"Taiwan";677;19;282;81;93;202;2019;"TAW";713
"43";"Kazakhstan";657;77;160;96;106;218;2019;"KZK";705
"44";"Turkey";650;90;195;131;124;110;2019;"TUR";640
"45";"San Marino";630;44;192;64;162;167;2019;"SNM";331
"46";"Ukraine";584;82;167;121;194;20;2019;"UKR";369
"47";"Liechtenstein";583;48;167;79;112;177;2019;"LIE";223
"48";"Yugoslavia";575;62;193;121;-36;235;2019;"YUG";345
"49";"Monaco";546;44;150;47;175;130;2019;"MNC";221
"50";"China";537;60;197;131;86;63;2019;"CHN";710
"51";"Russia";452;84;193;127;94;-45;2019;"RUS";365
"52";"Pakistan";444;32;192;120;35;65;2019;"PAK";770
"53";"Belarus";360;58;175;115;105;-94;2019;"BLR";370
"54";"Iran";49;36;85;74;-115;-32;2019;"IRN";630
"55";"North Korea";-205;14;0;21;-110;-129;2019;"PRK";731
"56";"Singapore";959;68;191;144;256;299;2019;"SIN";830
"57";"Malta";873;78;198;127;176;293;2019;"MLT";338
"58";"Cyprus";795;70;196;107;168;253;2019;"CYP";352
"59";"United Arab Emirates";783;58;257;126;85;256;2019;"UAE";696
"60";"Malaysia";774;52;198;126;159;239;2019;"MAL";820
"61";"Moldova";652;56;192;130;93;181;2019;"MLD";359
"62";"Armenia";647;56;126;130;200;135;2019;"ARM";371
"63";"Jordan";632;62;131;131;96;212;2019;"JOR";663
"64";"Kyrgyzstan";628;54;175;92;109;198;2019;"KYR";703
"65";"Chile";615;68;94;108;156;190;2019;"CHL";155
"66";"Georgia";592;58;136;106;12;280;2019;"GRG";372
"67";"Albania";590;56;192;101;73;168;2019;"ALB";339
"68";"Jamaica";585;58;143;123;41;219;2019;"JAM";51
"69";"Saudi Arabia";583;48;87;88;199;161;2019;"SAU";670
"70";"Panama";577;64;103;96;106;208;2019;"PAN";95
"71";"Bangladesh";558;54;138;95;110;161;2019;"BNG";771
"72";"Malawi";549;58;109;71;130;181;2019;"MAW";553
"73";"Zambia";547;50;110;101;102;185;2019;"ZAM";551
"74";"Azerbaijan";530;60;168;111;6;186;2019;"AZE";373
"75";"Mongolia";527;58;106;84;106;174;2019;"MON";712
"76";"Ghana";518;56;151;106;81;125;2019;"GHA";452
"77";"Thailand";511;54;115;123;50;168;2019;"THI";800
"78";"Peru";485;60;100;75;79;172;2019;"PER";135
"79";"Tajikistan";483;54;127;66;62;174;2019;"TAJ";702
"80";"Philippines";482;62;179;102;29;109;2019;"PHI";840
"81";"Dominican Republic";480;62;84;96;63;176;2019;"DOM";42
"82";"Qatar";480;52;103;107;74;143;2019;"QAT";694
"83";"Bosnia and Herzegovina";478;60;159;104;89;65;2019;"BOS";346
"84";"Tunisia";477;56;79;83;104;154;2019;"TUN";616
"85";"Indonesia";475;58;91;116;101;108;2019;"INS";850
"86";"Hong Kong";463;18;140;94;150;60;2019;NA;NA
"87";"Algeria";460;52;114;102;14;178;2019;"ALG";615
"88";"Uzbekistan";452;60;119;77;42;155;2019;"UZB";704
"89";"Namibia";443;50;100;91;83;119;2019;"NAM";565
"90";"Sri Lanka";443;48;92;77;46;180;2019;"SRI";780
"91";"Tanzania";423;52;91;87;72;122;2019;"TAZ";510
"92";"Venezuela";403;42;106;48;138;69;2019;"VEN";101
"93";"Brunei";398;44;79;79;53;143;2019;"BRU";835
"94";"Oman";387;44;73;84;84;103;2019;"OMA";698
"95";"Costa Rica";523;60;137;80;38;207;2019;"COS";94
"96";"Nicaragua";376;56;139;73;-25;133;2019;"NIC";93
"97";"Ethiopia";374;40;134;51;-13;162;2019;"ETH";530
"98";"Kuwait";373;58;77;82;64;92;2019;"KUW";690
"99";"Niger";363;52;81;72;82;76;2019;"NIR";436
"100";"Colombia";361;64;63;81;67;86;2019;"COL";100
"101";"Bahamas";357;48;75;69;15;150;2019;"BHM";31
"102";"Morocco";355;60;101;76;-51;168;2019;"MOR";600
"103";"Ecuador";343;54;92;76;46;75;2019;"ECU";130
"104";"Nigeria";335;58;97;75;-18;123;2019;"NIG";475
"105";"Madagascar";333;60;76;81;-7;123;2019;"MAG";580
"106";"Uganda";295;48;91;83;4;69;2019;"UGA";500
"107";"Paraguay";288;60;66;74;-52;140;2019;"PAR";150
"108";"Egypt";278;32;127;81;49;-11;2019;"EGY";651
"109";"Vietnam";271;62;122;76;-18;29;2019;"DRV";816
"110";"Lebanon";250;46;120;81;37;-35;2019;"LEB";660
"111";"Lao People’s Democratic Republic";215;36;123;84;-119;91;2019;NA;NA
"112";"Vanuatu";204;52;73;62;-35;52;2019;"VAN";935
"113";"Libya";179;64;94;47;-36;10;2019;"LIB";620
"114";"Syria";174;34;65;61;113;-98;2019;"SYR";652
"115";"Iraq";160;58;83;90;-94;22;2019;"IRQ";645
"116";"Afghanistan";79;50;83;57;-95;-16;2019;"AFG";700
"117";"Macedonia";635;65;169;98;181;121;2019;"MAC";343
"118";"Andorra";621;48;150;63;220;140;2019;"AND";232
"119";"Montenegro";611;56;193;89;69;204;2019;"MNG";341
"120";"Guatemala";567;52;141;112;102;160;2019;"GUA";90
"121";"Uruguay";535;60;94;106;112;163;2019;"URU";165
"122";"Cuba";516;58;113;92;101;152;2019;"CUB";40
"123";"Cameroon";499;48;102;68;137;145;2019;"CAO";471
"124";"Bahrain";498;56;81;84;152;125;2019;"BAH";692
"125";"Mauritius";497;50;106;77;58;206;2019;"MAS";590
"126";"Gabon";488;58;134;75;79;142;2019;"GAB";481
"127";"Solomon Islands";477;34;115;58;134;136;2019;"SOL";940
"128";"Fiji";475;58;106;82;123;106;2019;"FIJ";950
"129";"Antigua & Barbuda";458;60;75;58;139;126;2019;"AAB";58
"130";"Trinidad and Tobago";447;44;86;93;98;126;2019;"TRI";52
"131";"Grenada";440;34;81;50;144;130;2019;"GRN";55
"132";"Lesotho";438;50;81;72;118;117;2019;"LES";570
"133";"Sierra Leone";426;40;140;86;-19;181;2019;"SIE";451
"134";"Seychelles";426;54;98;49;92;133;2019;"SEY";591
"135";"Bolivia";423;40;132;65;31;155;2019;"BOL";145
"136";"Saint Lucia";405;48;100;53;65;138;2019;NA;NA
"137";"El Salvador";402;60;135;58;3;146;2019;"SAL";92
"138";"Burkina Faso";395;50;106;73;8;158;2019;"BFO";439
"139";"Botswana";394;46;126;86;-13;148;2019;"BOT";571
"140";"Mali";391;52;95;64;38;142;2019;"MLI";432
"141";"Nauru";375;32;90;32;99;122;2019;"NAU";970
"142";"Mauritania";374;58;83;71;43;119;2019;"MAA";435
"143";"Senegal";370;54;85;79;91;61;2019;"SEN";433
"144";"Tonga";368;38;67;76;117;71;2019;"TON";955
"145";"Angola";368;50;75;57;125;60;2019;"ANG";540
"146";"East Timor";367;32;106;49;53;126;2019;"ETM";860
"147";"Cote d’Ivoire";360;56;83;68;7;145;2019;NA;NA
"148";"Honduras";355;50;112;60;10;124;2019;"HON";91
"149";"Barbados";354;36;81;36;92;109;2019;"BAR";53
"150";"Nepal";348;34;78;71;68;97;2019;"NEP";790
"151";"Swaziland";344;44;100;50;6;144;2019;"SWA";572
"152";"Kenya";343;58;78;90;-24;141;2019;"KEN";501
"153";"Bhutan";333;24;98;67;60;84;2019;"BHU";760
"154";"Papua New Guinea";332;44;67;66;72;84;2019;"PNG";910
"155";"Marshall Islands";324;46;50;43;94;90;2019;"MSI";983
"156";"Samoa";323;42;106;61;25;89;2019;"WSM";990
"157";"Cook Islands";321;28;33;32;199;28;2019;NA;NA
"158";"Dominica";320;42;92;54;-15;148;2019;"DMA";54
"159";"Cambodia";316;58;102;91;-5;71;2019;"CAM";811
"160";"Cape Verde";314;34;88;62;29;102;2019;"CAP";402
"161";"Djibouti";310;54;100;55;-32;133;2019;"DJI";522
"162";"Turkmenistan";307;62;65;34;24;122;2019;"TKM";701
"163";"Suriname";305;30;81;64;8;122;2019;"SUR";115
"164";"St. Vincent and the Grenadines";296;42;75;53;22;103;2019;"SVG";57
"165";"Rwanda";295;46;94;93;-39;102;2019;"RWA";517
"166";"Papal States";294;38;42;35;133;47;2019;"PAP";327
"167";"Maldives";287;32;67;68;15;105;2019;"MAD";781
"168";"Benin";284;40;67;72;73;32;2019;"BEN";434
"169";"Guinea";284;38;75;64;43;64;2019;"GUI";438
"170";"Gambia";283;44;73;56;53;57;2019;"GAM";420
"171";"Mozambique";282;54;86;72;-3;73;2019;"MZM";541
"172";"Togo";281;48;92;64;38;40;2019;"TOG";461
"173";"Saint Kitts and Nevis";280;40;73;48;19;100;2019;NA;NA
"174";"Niue";268;20;63;22;117;47;2019;NA;NA
"175";"Palau";268;44;65;28;69;62;2019;"PAL";986
"176";"Democratic Republic of the Congo";263;52;126;96;-45;35;2019;"DRC";490
"177";"Congo";262;46;92;73;-44;97;2019;"CON";484
"178";"Zimbabwe";257;40;76;69;71;1;2019;"ZIM";552
"179";"Sao Tome and Principe";254;30;75;63;5;81;2019;"STP";403
"180";"Chad";250;34;76;53;-3;90;2019;"CHA";483
"181";"Belize";250;42;58;50;15;84;2019;"BLZ";80
"182";"Guyana";240;42;67;48;-38;122;2019;"GUY";110
"183";"Guinea-Bissau";237;42;75;63;23;34;2019;"GNB";404
"184";"Comoros";213;50;58;54;-11;62;2019;"COM";581
"185";"Kosovo";209;6;77;55;1;70;2019;"KOS";347
"186";"Myanmar";206;40;94;54;-92;110;2019;"MYA";775
"187";"Liberia";204;40;78;78;-69;77;2019;"LBR";450
"188";"Yemen";201;50;58;41;65;-13;2019;"YEM";679
"189";"Central African Republic";199;46;75;45;-38;71;2019;"CEN";482
"190";"Micronesia (Federated States of)";195;10;92;36;-32;90;2019;NA;NA
"191";"Kiribati";192;30;67;36;-11;71;2019;"KIR";946
"192";"Tuvalu";186;24;73;19;-32;102;2019;"TUV";947
"193";"Haiti";183;46;75;53;-62;71;2019;"HAI";41
"194";"Burundi";179;44;84;66;-57;43;2019;"BUI";516
"195";"Eritrea";140;26;50;40;-45;69;2019;"ERI";531
"196";"Equatorial Guinea";130;28;58;49;-57;52;2019;"EQG";411
"197";"Sudan";114;40;58;68;17;-69;2019;"SUD";625
"198";"Palestine (State of)";67;24;58;45;-37;-22;2019;NA;NA
"199";"Somalia";-17;24;58;27;-80;-46;2019;"SOM";520
"200";"South Sudan";-51;6;58;38;-80;-74;2019;"SSD";626
"201";"United States of America";1027;86;199;145;217;380;2017;"USA";2
"202";"Portugal";970;90;198;142;181;359;2017;"POR";235
"203";"United Kingdom";962;86;199;149;180;347;2017;"UKG";200
"204";"Iceland";927;73;183;140;214;316;2017;"ICE";395
"205";"Lithuania";901;76;197;140;125;363;2017;"LIT";368
"206";"Slovakia";901;76;198;131;186;311;2017;"SLO";317
"207";"Slovenia";897;78;197;109;152;361;2017;"SLV";349
"208";"Australia";893;96;199;136;115;346;2017;"AUL";900
"209";"Netherlands";890;88;200;137;121;345;2017;"NTH";210
"210";"Sweden";887;90;200;137;117;344;2017;"SWD";380
"211";"Germany";886;90;199;131;121;344;2017;"GMY";255
"212";"Denmark";884;90;199;133;115;346;2017;"DEN";390
"213";"Czech Republic";878;82;198;128;108;362;2017;"CZR";316
"214";"Belgium";877;90;199;134;119;335;2017;"BEL";211
"215";"Hungary";876;84;197;131;129;335;2017;"HUN";310
"216";"Austria";876;90;199;127;113;347;2017;"AUS";305
"217";"Malta";875;76;198;118;148;335;2017;"MLT";338
"218";"Poland";875;84;198;123;110;360;2017;"POL";290
"219";"Spain";872;90;198;126;139;320;2017;"SPN";230
"220";"France";869;88;199;129;110;344;2017;"FRN";220
"221";"Ireland";858;86;199;135;111;327;2017;"IRE";205
"222";"New Zealand";858;100;185;135;90;348;2017;"NEW";920
"223";"Italy";856;90;197;125;108;337;2017;"ITA";325
"224";"Estonia";843;70;199;128;112;333;2017;"EST";366
"225";"Finland";842;90;200;122;103;327;2017;"FIN";375
"226";"Norway";838;90;184;136;100;327;2017;"NOR";385
"227";"Canada";829;86;184;136;115;308;2017;"CAN";20
"228";"Japan";827;86;146;129;142;326;2017;"JPN";740
"229";"Luxembourg";822;86;200;134;87;316;2017;"LUX";212
"230";"Latvia";817;79;196;114;107;322;2017;"LAT";367
